Network,Device,IP,DNS,NetBIOS,Comments,Team,CRQ,OS,QID,Title,vSTATUS,PORT,SSL,FirstDetected,LastDetected,CVE,CVSS,Solution,RESULT,AssetID,AssetLinkID
"ARC","UnixServer","10.64.0.68","arc-prd-db1","","","","","Oracle Enterprise Linux 7.9","160568","Oracle Enterprise Linux Security Update for kernel (ELSA-2023-1987)","Active"," ","false","2023-04-28","2023-08-31","CVE-2022-43750 ","6.7","To resolve this issue, upgrade to the latest packages which contain a patch.Refer to Oracle Enterprise Linux advisory below for updates and patch information:[ELSA-2023-1987](https://linux.oracle.com/errata/ELSA-2023-1987.html)\nPatch:\nFollowing are links for downloading patches to fix the vulnerabilities:\n [ELSA-2023-1987:Oracle Linux](https://linux.oracle.com/errata/ELSA-2023-1987.html)","Package\tInstalled Version\tRequired Version\nkernel\t3.10.0-1160.83.1.0.1.el7.x86_64\t3.10.0-1160.90.1.0.1.el7;","18488789","1013904"
"ARC","UnixServer","10.64.0.68","arc-prd-db1","","","","","Oracle Enterprise Linux 7.9","160190","Oracle Enterprise Linux Security Update for unbreakable enterprise kernel (ELSA-2022-9969)","Active"," ","false","2022-11-02","2023-08-31","CVE-2015-1350  CVE-2017-13166  CVE-2020-10690  CVE-2020-12654  CVE-2020-12655  CVE-2021-42739  CVE-2022-3239  CVE-2022-36946 ","7.8","To resolve this issue, upgrade to the latest packages which contain a patch.Refer to Oracle Enterprise Linux advisory below for updates and patch information:[ELSA-2022-9969](https://linux.oracle.com/errata/ELSA-2022-9969.html)\nPatch:\nFollowing are links for downloading patches to fix the vulnerabilities:\n [ELSA-2022-9969:Oracle Linux](https://linux.oracle.com/errata/ELSA-2022-9969.html)","Package\tInstalled Version\tRequired Version\nkernel-uek-firmware\t4.1.12-124.41.4.el7uek.noarch\t4.1.12-124.68.3.el7uek\nkernel-uek-firmware\t4.1.12-124.24.1.el7uek.noarch\t4.1.12-124.68.3.el7uek\nkernel-uek;","18488789","1013904"
"ARC","UnixServer","10.64.0.68","arc-prd-db1","","","","","Oracle Enterprise Linux 7.9","157950","Oracle Enterprise Linux Security Update for Unbreakable Enterprise kernel (ELSA-2019-4596)","Active"," ","false","2020-11-13","2023-08-31","CVE-2018-1066  CVE-2018-10881  CVE-2018-10882  CVE-2019-3701 ","6.5","To resolve this issue, upgrade to the latest packages which contain a patch. Refer to Oracle Enterprise Linux advisory below for updates and patch information:[Oracle Linux 7](https://oss.oracle.com/pipermail/el-errata/2019-April/008616.html) [Oracle Linux 6](https://oss.oracle.com/pipermail/el-errata/2019-April/008617.html) \nPatch:\nFollowing are links for downloading patches to fix the vulnerabilities:\n [ELSA-2019-4596:Oracle Linux 7](https://oss.oracle.com/pipermail/el-errata/2019-April/008616.html) [ELSA-2019-4596:Oracle Linux 6](https://oss.oracle.com/pipermail/el-errata/2019-April/008617.html)","Package\tInstalled Version\tRequired Version\nkernel-uek-firmware\t4.1.12-124.24.1.el7uek.noarch\t4.1.12-124.26.7.el7uek;","18488789","1013904"
"ARC","UnixServer","10.64.0.68","arc-prd-db1","","","","","Oracle Enterprise Linux 7.9","160525","Oracle Enterprise Linux Security Update for unbreakable enterprise kernel (ELSA-2023-12232)","Active"," ","false","2023-04-05","2023-08-31","CVE-2019-5489  CVE-2020-0404  CVE-2023-0394  CVE-2023-1073  CVE-2023-1074  CVE-2023-1095 ","6.6","To resolve this issue, upgrade to the latest packages which contain a patch.Refer to Oracle Enterprise Linux advisory below for updates and patch information:[ELSA-2023-12232](https://linux.oracle.com/errata/ELSA-2023-12232.html)\nPatch:\nFollowing are links for downloading patches to fix the vulnerabilities:\n [ELSA-2023-12232:Oracle Linux](https://linux.oracle.com/errata/ELSA-2023-12232.html)","Package\tInstalled Version\tRequired Version\nkernel-uek-firmware\t4.1.12-124.41.4.el7uek.noarch\t4.1.12-124.73.2.el7uek\nkernel-uek-firmware\t4.1.12-124.24.1.el7uek.noarch\t4.1.12-124.73.2.el7uek\nkernel-uek;","18488789","1013904"
"ARC","UnixServer","10.64.0.68","arc-prd-db1","","","","","Oracle Enterprise Linux 7.9","160836","Oracle Enterprise Linux Security Update for openssh (ELSA-2023-4382)","Active"," ","false","2023-08-11","2023-08-31","CVE-2023-38408 ","9.8","To resolve this issue, upgrade to the latest packages which contain a patch.Refer to Oracle Enterprise Linux advisory below for updates and patch information:[ELSA-2023-4382](https://linux.oracle.com/errata/ELSA-2023-4382.html)\nPatch:\nFollowing are links for downloading patches to fix the vulnerabilities:\n [ELSA-2023-4382:Oracle Linux](https://linux.oracle.com/errata/ELSA-2023-4382.html)","Package\tInstalled Version\tRequired Version\nopenssh-server\t7.4p1-22.0.1.el7_9.x86_64\t7.4p1-23.0.1.el7_9\nopenssh\t7.4p1-22.0.1.el7_9.x86_64\t7.4p1-23.0.1.el7_9\nopenssh-clients\t7.4p1-22.0.1.el7_9.x86_64\t7;","18488789","1013904"
"ARC","UnixServer","10.64.0.68","arc-prd-db1","","","","","Oracle Enterprise Linux 7.9","160846","Oracle Enterprise Linux Security Update for linux-firmware (ELSA-2023-12713)","Active"," ","false","2023-08-11","2023-08-31","CVE-2023-20569 ","7.5","To resolve this issue, upgrade to the latest packages which contain a patch.Refer to Oracle Enterprise Linux advisory below for updates and patch information:[ELSA-2023-12713](https://linux.oracle.com/errata/ELSA-2023-12713.html)\nPatch:\nFollowing are links for downloading patches to fix the vulnerabilities:\n [ELSA-2023-12713:Oracle Linux](https://linux.oracle.com/errata/ELSA-2023-12713.html)","Package\tInstalled Version\tRequired Version\nlinux-firmware\t20230516-999.19.git6c9e0ed5.el7.noarch\t20230516-999.25.git6c9e0ed5.el7;","18488789","1013904"
"ARC","UnixServer","10.64.0.68","arc-prd-db1","","","","","Oracle Enterprise Linux 7.9","160848","Oracle Enterprise Linux Security Update for linux-firmware (ELSA-2023-12712)","Active"," ","false","2023-08-11","2023-08-31","CVE-2023-20569 ","7.5","To resolve this issue, upgrade to the latest packages which contain a patch.Refer to Oracle Enterprise Linux advisory below for updates and patch information:[ELSA-2023-12712](https://linux.oracle.com/errata/ELSA-2023-12712.html)\nPatch:\nFollowing are links for downloading patches to fix the vulnerabilities:\n [ELSA-2023-12712:Oracle Linux](https://linux.oracle.com/errata/ELSA-2023-12712.html)","Package\tInstalled Version\tRequired Version\nlinux-firmware\t20230516-999.19.git6c9e0ed5.el7.noarch\t20230516-999.25.git6c9e0ed5.el7;","18488789","1013904"
"ARC","UnixServer","10.64.0.68","arc-prd-db1","","","","","Oracle Enterprise Linux 7.9","160857","Oracle Enterprise Linux Security Update for kernel (ELSA-2023-4151)","Active"," ","false","2023-08-11","2023-08-31","CVE-2022-3564 ","7.1","To resolve this issue, upgrade to the latest packages which contain a patch.Refer to Oracle Enterprise Linux advisory below for updates and patch information:[ELSA-2023-4151](https://linux.oracle.com/errata/ELSA-2023-4151.html)\nPatch:\nFollowing are links for downloading patches to fix the vulnerabilities:\n [ELSA-2023-4151:Oracle Linux](https://linux.oracle.com/errata/ELSA-2023-4151.html)","Package\tInstalled Version\tRequired Version\nkernel\t3.10.0-1160.90.1.0.1.el7.x86_64\t3.10.0-1160.95.1.0.1.el7\nkernel\t3.10.0-1160.83.1.0.1.el7.x86_64\t3.10.0-1160.95.1.0.1.el7\nkernel\t3.10.0-1160.92.1.0.1.;","18488789","1013904"
"ARC","UnixServer","10.64.0.68","arc-prd-db1","","","","","Oracle Enterprise Linux 7.9","160500","Oracle Enterprise Linux Security Update for unbreakable enterprise kernel (ELSA-2023-12160)","Active"," ","false","2023-03-08","2023-08-31","CVE-2022-2873  CVE-2022-41858  CVE-2022-45934  CVE-2023-23455 ","7.8","To resolve this issue, upgrade to the latest packages which contain a patch.Refer to Oracle Enterprise Linux advisory below for updates and patch information:[ELSA-2023-12160](https://linux.oracle.com/errata/ELSA-2023-12160.html)\nPatch:\nFollowing are links for downloading patches to fix the vulnerabilities:\n [ELSA-2023-12160:Oracle Linux](https://linux.oracle.com/errata/ELSA-2023-12160.html)","Package\tInstalled Version\tRequired Version\nkernel-uek-firmware\t4.1.12-124.41.4.el7uek.noarch\t4.1.12-124.72.2.el7uek\nkernel-uek-firmware\t4.1.12-124.24.1.el7uek.noarch\t4.1.12-124.72.2.el7uek\nkernel-uek;","18488789","1013904"
"ARC","UnixServer","10.64.0.68","arc-prd-db1","","","","","Oracle Enterprise Linux 7.9","160572","Oracle Enterprise Linux Security Update for unbreakable enterprise kernel (ELSA-2023-12323)","Active"," ","false","2023-05-03","2023-08-31","CVE-2022-4095  CVE-2023-1513  CVE-2023-23559  CVE-2023-26545  CVE-2023-28772 ","7.8","To resolve this issue, upgrade to the latest packages which contain a patch.Refer to Oracle Enterprise Linux advisory below for updates and patch information:[ELSA-2023-12323](https://linux.oracle.com/errata/ELSA-2023-12323.html)\nPatch:\nFollowing are links for downloading patches to fix the vulnerabilities:\n [ELSA-2023-12323:Oracle Linux](https://linux.oracle.com/errata/ELSA-2023-12323.html)","Package\tInstalled Version\tRequired Version\nkernel-uek-firmware\t4.1.12-124.41.4.el7uek.noarch\t4.1.12-124.74.2.el7uek\nkernel-uek-firmware\t4.1.12-124.24.1.el7uek.noarch\t4.1.12-124.74.2.el7uek\nkernel-uek;","18488789","1013904"
