function,customer,server_name,ansible_host,patch_collection_status,missing_patch_count,installed_patch_count,application_update_count,os_family,pending_reboot,os_backup_status,gto_complexity,patching_source,space_check,av_date,av_type,av_version,ms_removal_tool_date,sccm_installed,privilage_check,vm_snap_capable,missing_patch_list,timestamp,installed_patch_list
os_patching,GCC-EDU,gs246svr001,edu-lvl-ans01,Success,3,12,3,Windows,No,Success,,AnsibleCatalog,Yes,14/09/2023,TrendMicro,20.0.6860,20/03/2023,"Not Installed",,,"cplusruntime32
cplusruntime64
vmtools
2023-09 Cumulative Update for .NET Framework 3.5, 4.7.2 and 4.8 for Windows Server 2019 for x64 (KB5030178)
Windows Malicious Software Removal Tool x64 - v5.117 (KB890830)
2023-09 Cumulative Update for Windows Server 2019 for x64-based Systems (KB5030214)",1694752446,"[{""HOTFIX"":""KB4580325"",""INSTALLEDBY"":""GS246SVR001\\BladeLogicRSCD"",""INSTALLEDON"":""Monday 20 March 2023""},{""HOTFIX"":""KB5023789"",""INSTALLEDBY"":""GS246SVR001\\BladeLogicRSCD"",""INSTALLEDON"":""Monday 20 March 2023""},{""HOTFIX"":""KB5005112"",""INSTALLEDBY"":""NT-AUTHORITY\\SYSTEM"",""INSTALLEDON"":""Monday 20 March 2023""},{""HOTFIX"":""KB5023702"",""INSTALLEDBY"":""NT-AUTHORITY\\SYSTEM"",""INSTALLEDON"":""Monday 20 March 2023""},{""HOTFIX"":""KB5012170"",""INSTALLEDBY"":""GS246SVR001\\BladeLogicRSCD"",""INSTALLEDON"":""Monday 20 March 2023""},{""HOTFIX"":""KB5022511"",""INSTALLEDBY"":""GS246SVR001\\BladeLogicRSCD"",""INSTALLEDON"":""Monday 20 March 2023""},{""HOTFIX"":""KB4566424"",""INSTALLEDBY"":""NT-AUTHORITY\\SYSTEM"",""INSTALLEDON"":""Monday 24 August 2020""},{""HOTFIX"":""KB4561600"",""INSTALLEDBY"":""NT-AUTHORITY\\SYSTEM"",""INSTALLEDON"":""Wednesday 22 July 2020""},{""HOTFIX"":""KB4558997"",""INSTALLEDBY"":""NT-AUTHORITY\\SYSTEM"",""INSTALLEDON"":""Wednesday 22 July 2020""},{""HOTFIX"":""KB4516115"",""INSTALLEDBY"":""NT-AUTHORITY\\SYSTEM"",""INSTALLEDON"":""Friday 6 December 2019""},{""HOTFIX"":""KB4523204"",""INSTALLEDBY"":""NT-AUTHORITY\\SYSTEM"",""INSTALLEDON"":""Friday 6 December 2019""},{""HOTFIX"":""KB4512577"",""INSTALLEDBY"":"""",""INSTALLEDON"":""Saturday 7 September 2019""}]"
os_patching,GCC-EDU,gs239svr001,edu-lvl-ans01,Success,3,12,3,Windows,No,Success,,AnsibleCatalog,Yes,14/09/2023,TrendMicro,20.0.6860,20/03/2023,"Not Installed",,,"cplusruntime32
cplusruntime64
vmtools
2023-09 Cumulative Update for .NET Framework 3.5, 4.7.2 and 4.8 for Windows Server 2019 for x64 (KB5030178)
Windows Malicious Software Removal Tool x64 - v5.117 (KB890830)
2023-09 Cumulative Update for Windows Server 2019 for x64-based Systems (KB5030214)",1694752415,"[{""HOTFIX"":""KB4580325"",""INSTALLEDBY"":""GS239SVR001\\BladeLogicRSCD"",""INSTALLEDON"":""Monday 20 March 2023""},{""HOTFIX"":""KB5023789"",""INSTALLEDBY"":""GS239SVR001\\BladeLogicRSCD"",""INSTALLEDON"":""Monday 20 March 2023""},{""HOTFIX"":""KB5005112"",""INSTALLEDBY"":""NT-AUTHORITY\\SYSTEM"",""INSTALLEDON"":""Monday 20 March 2023""},{""HOTFIX"":""KB5023702"",""INSTALLEDBY"":""NT-AUTHORITY\\SYSTEM"",""INSTALLEDON"":""Monday 20 March 2023""},{""HOTFIX"":""KB5012170"",""INSTALLEDBY"":""GS239SVR001\\BladeLogicRSCD"",""INSTALLEDON"":""Monday 20 March 2023""},{""HOTFIX"":""KB5022511"",""INSTALLEDBY"":""GS239SVR001\\BladeLogicRSCD"",""INSTALLEDON"":""Monday 20 March 2023""},{""HOTFIX"":""KB4566424"",""INSTALLEDBY"":""NT-AUTHORITY\\SYSTEM"",""INSTALLEDON"":""Monday 24 August 2020""},{""HOTFIX"":""KB4561600"",""INSTALLEDBY"":""NT-AUTHORITY\\SYSTEM"",""INSTALLEDON"":""Wednesday 22 July 2020""},{""HOTFIX"":""KB4558997"",""INSTALLEDBY"":""NT-AUTHORITY\\SYSTEM"",""INSTALLEDON"":""Wednesday 22 July 2020""},{""HOTFIX"":""KB4516115"",""INSTALLEDBY"":""NT-AUTHORITY\\SYSTEM"",""INSTALLEDON"":""Friday 6 December 2019""},{""HOTFIX"":""KB4523204"",""INSTALLEDBY"":""NT-AUTHORITY\\SYSTEM"",""INSTALLEDON"":""Friday 6 December 2019""},{""HOTFIX"":""KB4512577"",""INSTALLEDBY"":"""",""INSTALLEDON"":""Saturday 7 September 2019""}]"
os_patching,GCC-EDU,gs250svr001,edu-lvl-ans01,Success,3,12,3,Windows,No,Success,,AnsibleCatalog,Yes,14/09/2023,TrendMicro,20.0.6860,22/03/2023,"Not Installed",,,"cplusruntime32
cplusruntime64
vmtools
2023-09 Cumulative Update for .NET Framework 3.5, 4.7.2 and 4.8 for Windows Server 2019 for x64 (KB5030178)
Windows Malicious Software Removal Tool x64 - v5.117 (KB890830)
2023-09 Cumulative Update for Windows Server 2019 for x64-based Systems (KB5030214)",1694752445,"[{""HOTFIX"":""KB4580325"",""INSTALLEDBY"":""GS250SVR001\\BladeLogicRSCD"",""INSTALLEDON"":""Wednesday 22 March 2023""},{""HOTFIX"":""KB5023789"",""INSTALLEDBY"":""GS250SVR001\\BladeLogicRSCD"",""INSTALLEDON"":""Wednesday 22 March 2023""},{""HOTFIX"":""KB5005112"",""INSTALLEDBY"":""NT-AUTHORITY\\SYSTEM"",""INSTALLEDON"":""Wednesday 22 March 2023""},{""HOTFIX"":""KB5023702"",""INSTALLEDBY"":""NT-AUTHORITY\\SYSTEM"",""INSTALLEDON"":""Wednesday 22 March 2023""},{""HOTFIX"":""KB5012170"",""INSTALLEDBY"":""GS250SVR001\\BladeLogicRSCD"",""INSTALLEDON"":""Wednesday 22 March 2023""},{""HOTFIX"":""KB5022511"",""INSTALLEDBY"":""GS250SVR001\\BladeLogicRSCD"",""INSTALLEDON"":""Wednesday 22 March 2023""},{""HOTFIX"":""KB4566424"",""INSTALLEDBY"":""NT-AUTHORITY\\SYSTEM"",""INSTALLEDON"":""Monday 24 August 2020""},{""HOTFIX"":""KB4561600"",""INSTALLEDBY"":""NT-AUTHORITY\\SYSTEM"",""INSTALLEDON"":""Wednesday 22 July 2020""},{""HOTFIX"":""KB4558997"",""INSTALLEDBY"":""NT-AUTHORITY\\SYSTEM"",""INSTALLEDON"":""Wednesday 22 July 2020""},{""HOTFIX"":""KB4516115"",""INSTALLEDBY"":""NT-AUTHORITY\\SYSTEM"",""INSTALLEDON"":""Friday 6 December 2019""},{""HOTFIX"":""KB4523204"",""INSTALLEDBY"":""NT-AUTHORITY\\SYSTEM"",""INSTALLEDON"":""Friday 6 December 2019""},{""HOTFIX"":""KB4512577"",""INSTALLEDBY"":"""",""INSTALLEDON"":""Saturday 7 September 2019""}]"
os_patching,GCC-EDU,gs252svr001,edu-lvl-ans01,Success,3,12,3,Windows,No,Success,,AnsibleCatalog,Yes,14/09/2023,TrendMicro,20.0.6860,22/03/2023,"Not Installed",,,"cplusruntime32
cplusruntime64
vmtools
2023-09 Cumulative Update for .NET Framework 3.5, 4.7.2 and 4.8 for Windows Server 2019 for x64 (KB5030178)
Windows Malicious Software Removal Tool x64 - v5.117 (KB890830)
2023-09 Cumulative Update for Windows Server 2019 for x64-based Systems (KB5030214)",1694752459,"[{""HOTFIX"":""KB4580325"",""INSTALLEDBY"":""GS252SVR001\\BladeLogicRSCD"",""INSTALLEDON"":""Wednesday 22 March 2023""},{""HOTFIX"":""KB5023789"",""INSTALLEDBY"":""GS252SVR001\\BladeLogicRSCD"",""INSTALLEDON"":""Wednesday 22 March 2023""},{""HOTFIX"":""KB5005112"",""INSTALLEDBY"":""NT-AUTHORITY\\SYSTEM"",""INSTALLEDON"":""Wednesday 22 March 2023""},{""HOTFIX"":""KB5023702"",""INSTALLEDBY"":""NT-AUTHORITY\\SYSTEM"",""INSTALLEDON"":""Wednesday 22 March 2023""},{""HOTFIX"":""KB5012170"",""INSTALLEDBY"":""GS252SVR001\\BladeLogicRSCD"",""INSTALLEDON"":""Wednesday 22 March 2023""},{""HOTFIX"":""KB5022511"",""INSTALLEDBY"":""GS252SVR001\\BladeLogicRSCD"",""INSTALLEDON"":""Wednesday 22 March 2023""},{""HOTFIX"":""KB4566424"",""INSTALLEDBY"":""NT-AUTHORITY\\SYSTEM"",""INSTALLEDON"":""Monday 24 August 2020""},{""HOTFIX"":""KB4561600"",""INSTALLEDBY"":""NT-AUTHORITY\\SYSTEM"",""INSTALLEDON"":""Wednesday 22 July 2020""},{""HOTFIX"":""KB4558997"",""INSTALLEDBY"":""NT-AUTHORITY\\SYSTEM"",""INSTALLEDON"":""Wednesday 22 July 2020""},{""HOTFIX"":""KB4516115"",""INSTALLEDBY"":""NT-AUTHORITY\\SYSTEM"",""INSTALLEDON"":""Friday 6 December 2019""},{""HOTFIX"":""KB4523204"",""INSTALLEDBY"":""NT-AUTHORITY\\SYSTEM"",""INSTALLEDON"":""Friday 6 December 2019""},{""HOTFIX"":""KB4512577"",""INSTALLEDBY"":"""",""INSTALLEDON"":""Saturday 7 September 2019""}]"
os_patching,GCC-EDU,gs232svr001,edu-lvl-ans01,Success,3,12,3,Windows,No,Success,,AnsibleCatalog,Yes,14/09/2023,TrendMicro,20.0.6860,15/03/2023,"Not Installed",,,"cplusruntime32
cplusruntime64
vmtools
2023-09 Cumulative Update for .NET Framework 3.5, 4.7.2 and 4.8 for Windows Server 2019 for x64 (KB5030178)
Windows Malicious Software Removal Tool x64 - v5.117 (KB890830)
2023-09 Cumulative Update for Windows Server 2019 for x64-based Systems (KB5030214)",1694752263,"[{""HOTFIX"":""KB4580325"",""INSTALLEDBY"":""GS232SVR001\\BladeLogicRSCD"",""INSTALLEDON"":""Wednesday 15 March 2023""},{""HOTFIX"":""KB5023789"",""INSTALLEDBY"":""GS232SVR001\\BladeLogicRSCD"",""INSTALLEDON"":""Wednesday 15 March 2023""},{""HOTFIX"":""KB5005112"",""INSTALLEDBY"":""NT-AUTHORITY\\SYSTEM"",""INSTALLEDON"":""Wednesday 15 March 2023""},{""HOTFIX"":""KB5023702"",""INSTALLEDBY"":""NT-AUTHORITY\\SYSTEM"",""INSTALLEDON"":""Wednesday 15 March 2023""},{""HOTFIX"":""KB5012170"",""INSTALLEDBY"":""GS232SVR001\\BladeLogicRSCD"",""INSTALLEDON"":""Wednesday 15 March 2023""},{""HOTFIX"":""KB5022511"",""INSTALLEDBY"":""GS232SVR001\\BladeLogicRSCD"",""INSTALLEDON"":""Wednesday 15 March 2023""},{""HOTFIX"":""KB4566424"",""INSTALLEDBY"":""NT-AUTHORITY\\SYSTEM"",""INSTALLEDON"":""Monday 24 August 2020""},{""HOTFIX"":""KB4561600"",""INSTALLEDBY"":""NT-AUTHORITY\\SYSTEM"",""INSTALLEDON"":""Wednesday 22 July 2020""},{""HOTFIX"":""KB4558997"",""INSTALLEDBY"":""NT-AUTHORITY\\SYSTEM"",""INSTALLEDON"":""Wednesday 22 July 2020""},{""HOTFIX"":""KB4516115"",""INSTALLEDBY"":""NT-AUTHORITY\\SYSTEM"",""INSTALLEDON"":""Friday 6 December 2019""},{""HOTFIX"":""KB4523204"",""INSTALLEDBY"":""NT-AUTHORITY\\SYSTEM"",""INSTALLEDON"":""Friday 6 December 2019""},{""HOTFIX"":""KB4512577"",""INSTALLEDBY"":"""",""INSTALLEDON"":""Saturday 7 September 2019""}]"
os_patching,GCC-EDU,gs245svr001,edu-lvl-ans01,Success,3,11,3,Windows,No,Success,,AnsibleCatalog,Yes,14/09/2023,TrendMicro,20.0.6860,06/03/2023,"Not Installed",,,"cplusruntime32
cplusruntime64
vmtools
2023-09 Cumulative Update for .NET Framework 3.5, 4.7.2 and 4.8 for Windows Server 2019 for x64 (KB5030178)
Windows Malicious Software Removal Tool x64 - v5.117 (KB890830)
2023-09 Cumulative Update for Windows Server 2019 for x64-based Systems (KB5030214)",1694752400,"[{""HOTFIX"":""KB5005112"",""INSTALLEDBY"":""GS245SVR001\\BladeLogicRSCD"",""INSTALLEDON"":""Monday 6 March 2023""},{""HOTFIX"":""KB5020374"",""INSTALLEDBY"":""NT-AUTHORITY\\SYSTEM"",""INSTALLEDON"":""Monday 6 March 2023""},{""HOTFIX"":""KB5022840"",""INSTALLEDBY"":""NT-AUTHORITY\\SYSTEM"",""INSTALLEDON"":""Monday 6 March 2023""},{""HOTFIX"":""KB5012170"",""INSTALLEDBY"":""GS245SVR001\\BladeLogicRSCD"",""INSTALLEDON"":""Monday 6 March 2023""},{""HOTFIX"":""KB5022511"",""INSTALLEDBY"":""NT-AUTHORITY\\SYSTEM"",""INSTALLEDON"":""Monday 6 March 2023""},{""HOTFIX"":""KB4566424"",""INSTALLEDBY"":""NT-AUTHORITY\\SYSTEM"",""INSTALLEDON"":""Monday 24 August 2020""},{""HOTFIX"":""KB4561600"",""INSTALLEDBY"":""NT-AUTHORITY\\SYSTEM"",""INSTALLEDON"":""Wednesday 22 July 2020""},{""HOTFIX"":""KB4558997"",""INSTALLEDBY"":""NT-AUTHORITY\\SYSTEM"",""INSTALLEDON"":""Wednesday 22 July 2020""},{""HOTFIX"":""KB4516115"",""INSTALLEDBY"":""NT-AUTHORITY\\SYSTEM"",""INSTALLEDON"":""Friday 6 December 2019""},{""HOTFIX"":""KB4523204"",""INSTALLEDBY"":""NT-AUTHORITY\\SYSTEM"",""INSTALLEDON"":""Friday 6 December 2019""},{""HOTFIX"":""KB4512577"",""INSTALLEDBY"":"""",""INSTALLEDON"":""Saturday 7 September 2019""}]"
os_patching,GCC-EDU,gs236svr001,edu-lvl-ans01,Success,3,12,3,Windows,No,Success,,AnsibleCatalog,Yes,14/09/2023,TrendMicro,20.0.6860,15/03/2023,"Not Installed",,,"cplusruntime32
cplusruntime64
vmtools
2023-09 Cumulative Update for .NET Framework 3.5, 4.7.2 and 4.8 for Windows Server 2019 for x64 (KB5030178)
Windows Malicious Software Removal Tool x64 - v5.117 (KB890830)
2023-09 Cumulative Update for Windows Server 2019 for x64-based Systems (KB5030214)",1694752269,"[{""HOTFIX"":""KB4580325"",""INSTALLEDBY"":""GS236SVR001\\BladeLogicRSCD"",""INSTALLEDON"":""Wednesday 15 March 2023""},{""HOTFIX"":""KB5023789"",""INSTALLEDBY"":""GS236SVR001\\BladeLogicRSCD"",""INSTALLEDON"":""Wednesday 15 March 2023""},{""HOTFIX"":""KB5005112"",""INSTALLEDBY"":""NT-AUTHORITY\\SYSTEM"",""INSTALLEDON"":""Wednesday 15 March 2023""},{""HOTFIX"":""KB5023702"",""INSTALLEDBY"":""NT-AUTHORITY\\SYSTEM"",""INSTALLEDON"":""Wednesday 15 March 2023""},{""HOTFIX"":""KB5012170"",""INSTALLEDBY"":""GS236SVR001\\BladeLogicRSCD"",""INSTALLEDON"":""Wednesday 15 March 2023""},{""HOTFIX"":""KB5022511"",""INSTALLEDBY"":""GS236SVR001\\BladeLogicRSCD"",""INSTALLEDON"":""Wednesday 15 March 2023""},{""HOTFIX"":""KB4566424"",""INSTALLEDBY"":""NT-AUTHORITY\\SYSTEM"",""INSTALLEDON"":""Monday 24 August 2020""},{""HOTFIX"":""KB4561600"",""INSTALLEDBY"":""NT-AUTHORITY\\SYSTEM"",""INSTALLEDON"":""Wednesday 22 July 2020""},{""HOTFIX"":""KB4558997"",""INSTALLEDBY"":""NT-AUTHORITY\\SYSTEM"",""INSTALLEDON"":""Wednesday 22 July 2020""},{""HOTFIX"":""KB4516115"",""INSTALLEDBY"":""NT-AUTHORITY\\SYSTEM"",""INSTALLEDON"":""Friday 6 December 2019""},{""HOTFIX"":""KB4523204"",""INSTALLEDBY"":""NT-AUTHORITY\\SYSTEM"",""INSTALLEDON"":""Friday 6 December 2019""},{""HOTFIX"":""KB4512577"",""INSTALLEDBY"":"""",""INSTALLEDON"":""Saturday 7 September 2019""}]"
os_patching,GCC-EDU,gs237svr001,edu-lvl-ans01,Success,3,12,3,Windows,No,Success,,AnsibleCatalog,Yes,14/09/2023,TrendMicro,20.0.6860,15/03/2023,"Not Installed",,,"cplusruntime32
cplusruntime64
vmtools
2023-09 Cumulative Update for .NET Framework 3.5, 4.7.2 and 4.8 for Windows Server 2019 for x64 (KB5030178)
Windows Malicious Software Removal Tool x64 - v5.117 (KB890830)
2023-09 Cumulative Update for Windows Server 2019 for x64-based Systems (KB5030214)",1694752339,"[{""HOTFIX"":""KB4580325"",""INSTALLEDBY"":""GS237SVR001\\BladeLogicRSCD"",""INSTALLEDON"":""Wednesday 15 March 2023""},{""HOTFIX"":""KB5023789"",""INSTALLEDBY"":""GS237SVR001\\BladeLogicRSCD"",""INSTALLEDON"":""Wednesday 15 March 2023""},{""HOTFIX"":""KB5005112"",""INSTALLEDBY"":""NT-AUTHORITY\\SYSTEM"",""INSTALLEDON"":""Wednesday 15 March 2023""},{""HOTFIX"":""KB5023702"",""INSTALLEDBY"":""NT-AUTHORITY\\SYSTEM"",""INSTALLEDON"":""Wednesday 15 March 2023""},{""HOTFIX"":""KB5012170"",""INSTALLEDBY"":""GS237SVR001\\BladeLogicRSCD"",""INSTALLEDON"":""Wednesday 15 March 2023""},{""HOTFIX"":""KB5022511"",""INSTALLEDBY"":""NT-AUTHORITY\\SYSTEM"",""INSTALLEDON"":""Wednesday 15 March 2023""},{""HOTFIX"":""KB4566424"",""INSTALLEDBY"":""NT-AUTHORITY\\SYSTEM"",""INSTALLEDON"":""Monday 24 August 2020""},{""HOTFIX"":""KB4561600"",""INSTALLEDBY"":""NT-AUTHORITY\\SYSTEM"",""INSTALLEDON"":""Wednesday 22 July 2020""},{""HOTFIX"":""KB4558997"",""INSTALLEDBY"":""NT-AUTHORITY\\SYSTEM"",""INSTALLEDON"":""Wednesday 22 July 2020""},{""HOTFIX"":""KB4516115"",""INSTALLEDBY"":""NT-AUTHORITY\\SYSTEM"",""INSTALLEDON"":""Friday 6 December 2019""},{""HOTFIX"":""KB4523204"",""INSTALLEDBY"":""NT-AUTHORITY\\SYSTEM"",""INSTALLEDON"":""Friday 6 December 2019""},{""HOTFIX"":""KB4512577"",""INSTALLEDBY"":"""",""INSTALLEDON"":""Saturday 7 September 2019""}]"
os_patching,GCC-EDU,gs248svr001,edu-lvl-ans01,Success,3,12,3,Windows,No,Success,,AnsibleCatalog,Yes,14/09/2023,TrendMicro,20.0.6860,22/03/2023,"Not Installed",,,"cplusruntime32
cplusruntime64
vmtools
2023-09 Cumulative Update for .NET Framework 3.5, 4.7.2 and 4.8 for Windows Server 2019 for x64 (KB5030178)
Windows Malicious Software Removal Tool x64 - v5.117 (KB890830)
2023-09 Cumulative Update for Windows Server 2019 for x64-based Systems (KB5030214)",1694752433,"[{""HOTFIX"":""KB4580325"",""INSTALLEDBY"":""GS248SVR001\\BladeLogicRSCD"",""INSTALLEDON"":""Wednesday 22 March 2023""},{""HOTFIX"":""KB5023789"",""INSTALLEDBY"":""GS248SVR001\\BladeLogicRSCD"",""INSTALLEDON"":""Wednesday 22 March 2023""},{""HOTFIX"":""KB5005112"",""INSTALLEDBY"":""NT-AUTHORITY\\SYSTEM"",""INSTALLEDON"":""Wednesday 22 March 2023""},{""HOTFIX"":""KB5023702"",""INSTALLEDBY"":""NT-AUTHORITY\\SYSTEM"",""INSTALLEDON"":""Wednesday 22 March 2023""},{""HOTFIX"":""KB5012170"",""INSTALLEDBY"":""GS248SVR001\\BladeLogicRSCD"",""INSTALLEDON"":""Wednesday 22 March 2023""},{""HOTFIX"":""KB5022511"",""INSTALLEDBY"":""GS248SVR001\\BladeLogicRSCD"",""INSTALLEDON"":""Wednesday 22 March 2023""},{""HOTFIX"":""KB4566424"",""INSTALLEDBY"":""NT-AUTHORITY\\SYSTEM"",""INSTALLEDON"":""Monday 24 August 2020""},{""HOTFIX"":""KB4561600"",""INSTALLEDBY"":""NT-AUTHORITY\\SYSTEM"",""INSTALLEDON"":""Wednesday 22 July 2020""},{""HOTFIX"":""KB4558997"",""INSTALLEDBY"":""NT-AUTHORITY\\SYSTEM"",""INSTALLEDON"":""Wednesday 22 July 2020""},{""HOTFIX"":""KB4516115"",""INSTALLEDBY"":""NT-AUTHORITY\\SYSTEM"",""INSTALLEDON"":""Friday 6 December 2019""},{""HOTFIX"":""KB4523204"",""INSTALLEDBY"":""NT-AUTHORITY\\SYSTEM"",""INSTALLEDON"":""Friday 6 December 2019""},{""HOTFIX"":""KB4512577"",""INSTALLEDBY"":"""",""INSTALLEDON"":""Saturday 7 September 2019""}]"
os_patching,GCC-EDU,gs262svr001,edu-lvl-ans01,Success,3,12,3,Windows,No,Success,,AnsibleCatalog,Yes,14/09/2023,TrendMicro,20.0.6860,22/03/2023,"Not Installed",,,"cplusruntime32
cplusruntime64
vmtools
2023-09 Cumulative Update for .NET Framework 3.5, 4.7.2 and 4.8 for Windows Server 2019 for x64 (KB5030178)
Windows Malicious Software Removal Tool x64 - v5.117 (KB890830)
2023-09 Cumulative Update for Windows Server 2019 for x64-based Systems (KB5030214)",1694752520,"[{""HOTFIX"":""KB4580325"",""INSTALLEDBY"":""GS262SVR001\\BladeLogicRSCD"",""INSTALLEDON"":""Wednesday 22 March 2023""},{""HOTFIX"":""KB5023789"",""INSTALLEDBY"":""GS262SVR001\\BladeLogicRSCD"",""INSTALLEDON"":""Wednesday 22 March 2023""},{""HOTFIX"":""KB5005112"",""INSTALLEDBY"":""NT-AUTHORITY\\SYSTEM"",""INSTALLEDON"":""Wednesday 22 March 2023""},{""HOTFIX"":""KB5023702"",""INSTALLEDBY"":""NT-AUTHORITY\\SYSTEM"",""INSTALLEDON"":""Wednesday 22 March 2023""},{""HOTFIX"":""KB5012170"",""INSTALLEDBY"":""GS262SVR001\\BladeLogicRSCD"",""INSTALLEDON"":""Wednesday 22 March 2023""},{""HOTFIX"":""KB5022511"",""INSTALLEDBY"":""GS262SVR001\\BladeLogicRSCD"",""INSTALLEDON"":""Wednesday 22 March 2023""},{""HOTFIX"":""KB4566424"",""INSTALLEDBY"":""NT-AUTHORITY\\SYSTEM"",""INSTALLEDON"":""Monday 24 August 2020""},{""HOTFIX"":""KB4561600"",""INSTALLEDBY"":""NT-AUTHORITY\\SYSTEM"",""INSTALLEDON"":""Wednesday 22 July 2020""},{""HOTFIX"":""KB4558997"",""INSTALLEDBY"":""NT-AUTHORITY\\SYSTEM"",""INSTALLEDON"":""Wednesday 22 July 2020""},{""HOTFIX"":""KB4516115"",""INSTALLEDBY"":""NT-AUTHORITY\\SYSTEM"",""INSTALLEDON"":""Friday 6 December 2019""},{""HOTFIX"":""KB4523204"",""INSTALLEDBY"":""NT-AUTHORITY\\SYSTEM"",""INSTALLEDON"":""Friday 6 December 2019""},{""HOTFIX"":""KB4512577"",""INSTALLEDBY"":"""",""INSTALLEDON"":""Saturday 7 September 2019""}]"
